factor_set,mode,vehicle_type,fuel_type,scope,value_kg_co2_per_ton_km,basis_load_factor,basis_empty_share,source,year,is_verified,notes,is_default
glec_accompanied,road,artic_truck_40t,hvo_tallow,WTW,0.01698,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 20.2 g CO2eq/MJ for animal fats from rendering (AWHY2), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_accompanied,road,artic_truck_40t,hvo_rapeseed,TTW,0.00086,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 43.1 g CO2eq/MJ for rapeseed (ROHY), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_accompanied,road,artic_truck_40t,hvo_rapeseed,WTW,0.03623,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 43.1 g CO2eq/MJ for rapeseed (ROHY), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_accompanied,road,artic_truck_40t,hvo_palm,TTW,0.00086,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 65.2 g CO2eq/MJ for palm oil, open effluent pond (POHY1), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_accompanied,road,artic_truck_40t,hvo_palm,WTW,0.05480,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 65.2 g CO2eq/MJ for palm oil, open effluent pond (POHY1), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_uco,TTW,0.00086,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 12.3 g CO2eq/MJ for waste cooking oil (WOHYs), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_uco,WTW,0.01034,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 12.3 g CO2eq/MJ for waste cooking oil (WOHYs), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_tallow,TTW,0.00086,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 20.2 g CO2eq/MJ for animal fats from rendering (AWHY2), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_tallow,WTW,0.01698,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 20.2 g CO2eq/MJ for animal fats from rendering (AWHY2), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_rapeseed,TTW,0.00086,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 43.1 g CO2eq/MJ for rapeseed (ROHY), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_rapeseed,WTW,0.03623,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 43.1 g CO2eq/MJ for rapeseed (ROHY), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_palm,TTW,0.00086,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 65.2 g CO2eq/MJ for palm oil, open effluent pond (POHY1), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec_freight_average,road,artic_truck_40t,hvo_palm,WTW,0.05480,0.72,0.30,"Derived from GLEC Table 42 and JRC RED II pathway values (Table 43, AR6)",2026,no,"JRC typical value 65.2 g CO2eq/MJ for palm oil, open effluent pond (POHY1), converted on GLEC's own fuel intensity (0.8405 MJ/tonne-km) so the payload basis carries over. EXCLUDES indirect land-use change, which RED II Annex VIII assigns to oil crops and which is large enough to erase the saving for crop-grown feedstock -- ask your supplier what it was made from. Other JRC pathways not listed here: sunflower 34.4, soybean 32.5, palm with methane captured 45.7 g CO2eq/MJ.",no
glec,road,artic_truck_40t,electric_tr,TTW,0.00000,0.72,0.30,Derived from Ember 2024 (Our World in Data mirror) - Turkiye generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.398 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. Reached through Our World in Data rather than Ember directly, which blocks automated access; the two agree on Germany to within 2% (336 vs 330 g/kWh), so the basis matches the other country rows. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries - never apply one average across a multi-country route.",no
glec,road,artic_truck_40t,electric_tr,WTW,0.04780,0.72,0.30,Derived from Ember 2024 (Our World in Data mirror) - Turkiye generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.398 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. Reached through Our World in Data rather than Ember directly, which blocks automated access; the two agree on Germany to within 2% (336 vs 330 g/kWh), so the basis matches the other country rows. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries - never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_tr,TTW,0.00000,0.72,0.30,Derived from Ember 2024 (Our World in Data mirror) - Turkiye generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.398 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. Reached through Our World in Data rather than Ember directly, which blocks automated access; the two agree on Germany to within 2% (336 vs 330 g/kWh), so the basis matches the other country rows. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries - never apply one average across a multi-country route.",no
glec_accompanied,road,artic_truck_40t,electric_tr,WTW,0.04780,0.72,0.30,Derived from Ember 2024 (Our World in Data mirror) - Turkiye generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.398 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. Reached through Our World in Data rather than Ember directly, which blocks automated access; the two agree on Germany to within 2% (336 vs 330 g/kWh), so the basis matches the other country rows. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries - never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_tr,TTW,0.00000,0.72,0.30,Derived from Ember 2024 (Our World in Data mirror) - Turkiye generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.398 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. Reached through Our World in Data rather than Ember directly, which blocks automated access; the two agree on Germany to within 2% (336 vs 330 g/kWh), so the basis matches the other country rows. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries - never apply one average across a multi-country route.",no
glec_freight_average,road,artic_truck_40t,electric_tr,WTW,0.04780,0.72,0.30,Derived from Ember 2024 (Our World in Data mirror) - Turkiye generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.398 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. Reached through Our World in Data rather than Ember directly, which blocks automated access; the two agree on Germany to within 2% (336 vs 330 g/kWh), so the basis matches the other country rows. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries - never apply one average across a multi-country route.",no
